ID,DE,KA,GENDER,EXAMPLE,BOOK,LESSON,DATE
1,der Herr(en),ბატონო...,M,,A1.1,L1,25/09/2025
2,der Name(n),სახელი-გვარი,M,,A1.1,L1,25/09/2025
3,der Buchstabe(n),"ასო, ბგერა",M,,A1.1,L1,25/09/2025
4,der Moment(e),მომენტი,M,,A1.1,L1,25/09/2025
5,der Kurs(e),"კურსი, კლასი",M,,A1.1,L1,25/09/2025
6,der Sport,სპორტი,M,,A1.1,L1,25/09/2025
7,der Vorname(n),სახელი,M,,A1.1,L1,25/09/2025
8,der Familienname(n),გვარი,M,,A1.1,L1,25/09/2025
9,der Winter,ზამთარი,M,,A1.1,L1,25/09/2025
10,der Löwe,ლომი,M,,A1.1,L1,25/09/2025
11,der Supermarkt,მაღაზია,M,,A1.1,L1,25/09/2025
12,der Hund,ძაღლი,M,,A1.1,L1,25/09/2025
13,das Foto,ფოტოსურათი,N,,A1.1,L1,25/09/2025
14,das Deutschland,გერმანია,N,,A1.1,L1,25/09/2025
15,das Österreich,ავსტრია,N,,A1.1,L1,25/09/2025
16,das Alphabet,ანბანი,N,,A1.1,L1,25/09/2025
17,das Gespräch(e),"საუბარი, დიალოგი",N,,A1.1,L1,25/09/2025
18,das Bild(er),"სურათი, ნახატი",N,,A1.1,L1,25/09/2025
19,das Wort (Wörter),სიტყვა,N,,A1.1,L1,25/09/2025
20,das Land(Länder),"ქვეყანა, რეგიონი",N,,A1.1,L1,25/09/2025
21,das Telefon(e),ტელეფონი,N,,A1.1,L1,25/09/2025
22,das Fax(e),ფაქსი,N,,A1.1,L1,25/09/2025
23,das Formular(e),"ფორმა, ანკეტა",N,,A1.1,L1,25/09/2025
24,das Auto,მანქანა,N,,A1.1,L1,25/09/2025
25,das Klassenzimmer,საკლასო ოთახი,N,,A1.1,L1,25/09/2025
26,die Dame(n),ქალბატონი,F,,A1.1,L1,25/09/2025
27,die Musik,მუსიკა,F,,A1.1,L1,25/09/2025
28,die Frau(en),"ქალი, ცოლი, ქალბატონო",F,,A1.1,L1,25/09/2025
29,die Entshuldigung(en),ბოდიში,F,,A1.1,L1,25/09/2025
30,die Firma(Firmen),კომპანია,F,,A1.1,L1,25/09/2025
31,die Schweiz,შვეიცარია,F,,A1.1,L1,25/09/2025
32,die Sprache(n),ენა (სასაუბრო),F,,A1.1,L1,25/09/2025
33,die Frage(n),შეკითხვა,F,,A1.1,L1,25/09/2025
34,die Lektion(en),გაკვეთილი წიგნში,F,,A1.1,L1,25/09/2025
35,die Antwort(en),პასუხი,F,,A1.1,L1,25/09/2025
36,die Adresse(n),მისამართი,F,,A1.1,L1,25/09/2025
37,die Visitenkarte(n),სავიზიტო ბარათი,F,,A1.1,L1,25/09/2025
38,die Straße(n),ქუჩა,F,,A1.1,L1,25/09/2025
39,die Stadt(Städte),ქალაქი,F,,A1.1,L1,25/09/2025
40,die E-mail(s),ელ. ფოსტა,F,,A1.1,L1,25/09/2025
41,die Postleitzahl(en),საფოსტო ინდექსი,F,,A1.1,L1,25/09/2025
42,die Türkei,თურქეთი,F,,A1.1,L1,25/09/2025
43,die Natur,ბუნება,F,,A1.1,L1,25/09/2025
44,die Betonung,"ინტონაცია, emphasis",F,,A1.1,L1,25/09/2025
45,die Familienmitglieder,ოჯახის წევრები,F,,A1.1,L1,25/09/2025
46,die Tante,"დეიდა, მამიდა",F,,A1.1,L1,25/09/2025
47,die Cousin,ბიძაშვილი ქალი,F,,A1.1,L1,25/09/2025
48,die Katze,კატა,F,,A1.1,L1,25/09/2025
49,buchstabieren,დამარცვლა,-,,A1.1,L1,25/09/2025
50,machen,კეთება,-,,A1.1,L1,25/09/2025
51,sprechen,საუბარი,-,"Welche Sprachen sprichst du?
Ich spreche Georgisch, Englisch, Tschechisch und ein bisschen Deutsch.",A1.1,L1,25/09/2025
52,lesen,"კითხვა, წაკითხვა",-,,A1.1,L1,25/09/2025
53,spielen,თამაში,-,,A1.1,L1,25/09/2025
54,suchen,ძებნა,-,,A1.1,L1,25/09/2025
55,fragen,შეკითხვა,-,,A1.1,L1,25/09/2025
56,nachsprechen,გამეორება (ზეპირ),-,,A1.1,L1,25/09/2025
57,meinen,"გულისხმობს, ფიქრობს",-,Was meinen Sie?,A1.1,L1,25/09/2025
58,sagen,თქმა,-,,A1.1,L1,25/09/2025
59,vergleichen,შედარება,-,,A1.1,L1,25/09/2025
60,schreiben,"წერა, დაწერა",-,,A1.1,L1,25/09/2025
61,arbeiten,მუშაობა,-,,A1.1,L1,25/09/2025
62,verbinden,"დაკავშირება, შეერთება, მისადაგება",-,,A1.1,L1,25/09/2025
63,antworten,პასუხის გაცემა,-,,A1.1,L1,25/09/2025
64,heißen,ჰქვია,-,"Wie heißt du?
Heißt du Angela? 
Wie heißt das auf Deutsch?",A1.1,L1,25/09/2025
65,sein,ყოფნა,-,,A1.1,L1,25/09/2025
66,wissen,ცოდნა (ინფ),-,Ich weiß es nicht.,A1.1,L1,25/09/2025
67,kommen,"მოსვლა, წარმომავლობა",-,"Woher kommst du?
Kommst du aus Dänemark?
Ich komme aus Georgien.",A1.1,L1,25/09/2025
68,haben,ქონა,-,,A1.1,L1,25/09/2025
69,Achten,ყურადღების მიქცევა,-,,A1.1,L1,25/09/2025
70,wie,როგორ,-,,A1.1,L1,25/09/2025
71,wer,ვინ,-,,A1.1,L1,25/09/2025
72,woher,საიდან,-,,A1.1,L1,25/09/2025
73,was,რა,-,,A1.1,L1,25/09/2025
